Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,ID
09.11.09,35,17.9,192,3725,FEMALE,8.84451,-26.28055,,885750
09.11.09,41,20,203,4725,MALE,9.01079,-26.38085,,815330
15.11.09,37.7,16,183,3075,FEMALE,9.2151,-26.2253,,1065060
15.11.09,37.8,20,190,4250,MALE,9.51929,-25.69199,,787225
15.11.09,37.9,18.6,193,2925,FEMALE,9.02642,-25.86482,,748577
15.11.09,39.7,18.9,184,3550,MALE,8.85699,-25.80208,,670095
15.11.09,38.6,17.2,199,3750,FEMALE,8.77322,-26.48973,,439787
15.11.09,38.2,20,190,3900,MALE,9.59245,-25.70711,,832731
20.11.09,38.1,17,181,3175,FEMALE,9.79532,-25.27385,,682708
20.11.09,43.2,19,197,4775,MALE,9.31735,-25.45171,,1217297
12.11.09,38.1,16.5,198,3825,FEMALE,8.43951,-26.57563,,1122581
12.11.09,45.6,20.3,191,4600,MALE,8.65466,-26.32909,,37947
15.11.09,39.7,17.7,193,3200,FEMALE,9.02657,-26.06203,,1105761
15.11.09,42.2,19.5,197,4275,MALE,8.80186,-26.41218,,795710
17.11.09,39.6,20.7,191,3900,FEMALE,8.80967,-26.78958,,768405
17.11.09,42.7,18.3,196,4075,MALE,8.91434,-26.42018,,790716
18.11.09,38.6,17,188,2900,FEMALE,9.18021,-25.77264,,464832
18.11.09,37.3,20.5,199,3775,MALE,9.49645,-26.36678,,393800
22.11.09,35.7,17,189,3350,FEMALE,8.96436,-23.90309,,1057961
22.11.09,41.1,18.6,189,3325,MALE,9.32277,-26.09989,,573073
17.11.09,36.2,17.2,187,3150,FEMALE,9.04296,-26.19444,Nest never observed with full clutch.,429981
17.11.09,37.7,19.8,198,3500,MALE,9.11066,-26.42563,Nest never observed with full clutch.,334072
16.11.09,40.2,17,176,3450,FEMALE,9.30722,-25.61039,,1211949
16.11.09,41.4,18.5,202,3875,MALE,9.59462,-25.42621,,96385
18.11.09,35.2,15.9,186,3050,FEMALE,8.81668,-25.95399,,566956
18.11.09,40.6,19,199,4000,MALE,9.22537,-25.60826,,1044837
21.11.09,38.8,17.6,191,3275,FEMALE,8.88098,-25.89741,,1159334
21.11.09,41.5,18.3,195,4300,MALE,8.52566,-26.0245,,469690
18.11.09,39,17.1,191,3050,FEMALE,9.19031,-25.73722,,269092
18.11.09,44.1,18,210,4000,MALE,9.10702,-26.01363,,1182879
23.11.09,38.5,17.9,190,3325,FEMALE,8.9846,-25.57956,Nest never observed with full clutch.,1158947
23.11.09,43.1,19.2,197,3500,MALE,8.86495,-26.1396,Nest never observed with full clutch.,938446
10.11.09,36.8,18.5,193,3500,FEMALE,8.98705,-25.57647,,500069
10.11.09,37.5,18.5,199,4475,MALE,8.56708,-26.49288,,450503
